Marker,P_Value,Is_QTL,Bonferroni_Significant,BH_FDR_Significant,Permutation_Significant
109,0.27384836436023674,False,False,False,False
110,0.5980800591118203,False,False,False,False
111,0.25269412790170465,False,False,False,False
112,0.7622302636195206,False,False,False,False
113,0.6718389818757231,False,False,False,False
114,0.46598515298122734,False,False,False,False
115,0.7678573756338111,False,False,False,False
116,0.15761164862499966,False,False,False,False
117,0.9441151154965282,False,False,False,False
118,0.5453792765719075,False,False,False,False
119,0.7181030554376714,False,False,False,False
120,0.18723062608985142,False,False,False,False
121,0.9278582254629885,False,False,False,False
122,0.13885138675082975,False,False,False,False
123,0.8632073757996691,False,False,False,False
124,0.5841621491832959,False,False,False,False
125,0.439097561302376,False,False,False,False
126,0.2648087373173338,False,False,False,False
127,0.7002563988723258,False,False,False,False
128,0.06983859249350322,False,False,False,False
129,0.9539781822670841,False,False,False,False
130,0.12390034578331022,False,False,False,False
131,0.394028780183854,False,False,False,False
132,0.007949684301122306,False,False,False,False
133,0.47570492622593374,False,False,False,False
134,0.3044665264760329,False,False,False,False
135,0.4449008179668318,False,False,False,False
136,0.616577623556849,False,False,False,False
137,0.9454165724399485,False,False,False,False
138,0.9539667171468871,False,False,False,False
139,0.12913633169820327,False,False,False,False
140,0.8264105499727091,False,False,False,False
141,0.4132924989528043,False,False,False,False
142,0.04115320005240031,False,False,False,False
143,0.7384792656062277,False,False,False,False
144,0.9906247733684951,False,False,False,False
145,0.13960278578624907,False,False,False,False
146,0.7348931623102908,False,False,False,False
147,0.6519310255799742,False,False,False,False
148,0.4861920756222755,False,False,False,False
149,0.02456139491013254,False,False,False,False
150,0.8494618186441611,False,False,False,False
151,0.9838946637761669,False,False,False,False
152,0.7335215877759967,False,False,False,False
153,0.7305277955729573,False,False,False,False
154,0.39345707398832175,False,False,False,False
155,0.7449915257796885,False,False,False,False
156,0.21122099443796505,False,False,False,False
157,0.06655885695517816,False,False,False,False
158,0.08873449300788916,False,False,False,False
159,0.05691320212845086,False,False,False,False
160,0.6394069902916003,False,False,False,False
161,0.9327148731652056,False,False,False,False
162,0.916700390761965,False,False,False,False
163,0.09488117867166845,False,False,False,False
164,0.9362784928046657,False,False,False,False
165,0.3885355304562821,False,False,False,False
166,0.1432988392524911,False,False,False,False
167,0.5932075728347012,False,False,False,False
168,0.5988583701003527,False,False,False,False
169,0.6109490331219362,False,False,False,False
170,0.9125827441419312,False,False,False,False
171,0.011809088179004612,False,False,False,False
172,0.03275723026369526,False,False,False,False
173,0.17584974928100594,False,False,False,False
174,0.13618763754170682,False,False,False,False
175,0.03988560271314401,False,False,False,False
176,0.9942786739158408,False,False,False,False
177,0.304289828476366,False,False,False,False
178,0.004741392911873921,False,False,False,False
179,0.09986247716072949,False,False,False,False
180,0.36159902957266266,False,False,False,False
181,0.6174989318185006,False,False,False,False
182,0.6269523404322688,False,False,False,False
183,0.9697937077507195,False,False,False,False
184,0.177671761987946,False,False,False,False
185,0.2951260104846021,False,False,False,False
186,0.9279834000554296,False,False,False,False
187,0.11718552283459838,False,False,False,False
188,0.6658537063562052,False,False,False,False
189,0.8361157845918545,False,False,False,False
190,0.24047355409523796,False,False,False,False
191,0.808717871762248,False,False,False,False
192,0.6474108228760695,False,False,False,False
193,0.8002484436088676,False,False,False,False
194,0.5005679607905664,False,False,False,False
195,0.2812337838390083,False,False,False,False
196,0.8487921131360887,False,False,False,False
197,0.9708326498571355,False,False,False,False
198,0.24973571888589052,False,False,False,False
199,0.953936399862368,False,False,False,False
200,0.09044072698413275,False,False,False,False
201,0.4641008641918233,False,False,False,False
202,0.2394278377525315,False,False,False,False
203,0.9580925791606497,False,False,False,False
204,0.333635037126335,False,False,False,False
205,0.5325301291849333,False,False,False,False
206,0.02025876001774607,False,False,False,False
207,0.4640068641341015,False,False,False,False
208,0.448458262268858,False,False,False,False
209,0.9023032049180275,False,False,False,False
210,0.023160174532669053,False,False,False,False
211,0.0688274153162457,False,False,False,False
212,0.9891330026836055,False,False,False,False
213,0.30311635339669996,False,False,False,False
214,0.3616846750221502,False,False,False,False
215,0.5200493119940883,False,False,False,False
216,0.2946560888554083,False,False,False,False
217,0.4965904788462816,False,False,False,False
218,0.21950415094834308,False,False,False,False
219,0.060463573925364944,False,False,False,False
220,0.9662026253681762,False,False,False,False
221,0.9210571972951916,False,False,False,False
222,0.540476692170755,False,False,False,False
223,0.4699899323335527,False,False,False,False
224,0.4448357592818618,False,False,False,False
225,0.5567037351417045,False,False,False,False
226,0.6678491588479863,False,False,False,False
227,0.7051653786263351,False,False,False,False
228,0.044397296910590134,False,False,False,False
229,0.02520494712616217,False,False,False,False
230,0.12742667107259964,False,False,False,False
231,0.5936131913179654,False,False,False,False
232,0.6669621635634062,False,False,False,False
233,0.5151674870141173,False,False,False,False
234,0.9591705390670483,False,False,False,False
235,0.006058117130251728,False,False,False,False
236,0.5012091335384645,False,False,False,False
237,0.7447621559078171,False,False,False,False
238,0.7950274072961548,False,False,False,False
239,0.4192723879008051,False,False,False,False
240,0.025251882929577252,False,False,False,False
241,0.758255782004861,False,False,False,False
242,0.022803871029697498,False,False,False,False
243,0.07874328988291712,False,False,False,False
244,0.3790526950373052,False,False,False,False
245,0.11882754226202596,False,False,False,False
246,0.4556968600211837,False,False,False,False
247,0.5834935514695763,False,False,False,False
248,0.9238043600641663,False,False,False,False
249,0.428634650006233,False,False,False,False
250,0.82812278833752,False,False,False,False
251,0.6128734889795205,False,False,False,False
252,0.5642962058293866,False,False,False,False
253,0.8791134512366384,False,False,False,False
254,0.19696645595947704,False,False,False,False
255,0.251263550706466,False,False,False,False
256,0.26403370227561407,False,False,False,False
257,0.9025539692192319,False,False,False,False
258,0.05332508493334065,False,False,False,False
259,0.1549689931498922,False,False,False,False
260,0.2930376744328186,False,False,False,False
261,0.6562296481050006,False,False,False,False
262,0.11741688820841312,False,False,False,False
263,0.6108245504659697,False,False,False,False
264,0.5324800794552211,False,False,False,False
265,0.5066111397598535,False,False,False,False
266,0.9027264787666992,False,False,False,False
267,0.6446053398343335,False,False,False,False
268,0.9074523168359061,False,False,False,False
269,0.15060059433726392,False,False,False,False
270,0.8093514530182451,False,False,False,False
271,0.5526613561036466,False,False,False,False
272,0.5250883029672612,False,False,False,False
273,0.6918796596669491,False,False,False,False
274,0.5995934415226123,False,False,False,False
275,0.17034119365851885,False,False,False,False
276,0.8589904435996921,False,False,False,False
277,0.8257697299075593,False,False,False,False
278,0.38331982277740984,False,False,False,False
279,0.9425092633198067,False,False,False,False
280,0.40021202117659815,False,False,False,False
281,0.20471995933541243,False,False,False,False
282,0.12204779975345414,False,False,False,False
283,0.3015120891478765,False,False,False,False
284,0.6994237103223125,False,False,False,False
285,0.006090279675126764,False,False,False,False
286,0.45917703660615206,False,False,False,False
287,0.9026023965438417,False,False,False,False
288,0.10269439015064263,False,False,False,False
289,0.2507014291535362,False,False,False,False
290,0.35385863932333395,False,False,False,False
291,0.8383648876030845,False,False,False,False
292,0.22479110186807127,False,False,False,False
293,0.040733264805495994,False,False,False,False
294,0.4612088858375738,False,False,False,False
295,0.12818207318280406,False,False,False,False
296,0.8554753634178817,False,False,False,False
297,0.786778675211034,False,False,False,False
298,0.4139318081761838,False,False,False,False
299,0.3094099373616265,False,False,False,False
300,0.5504856032783381,False,False,False,False
301,0.0373102924029276,False,False,False,False
302,0.1833181618695403,False,False,False,False
303,0.12388620303382702,False,False,False,False
304,0.7135866099074174,False,False,False,False
305,0.9360475203348232,False,False,False,False
306,0.9375623209065953,False,False,False,False
307,0.3215329914823317,False,False,False,False
308,0.16425338725426664,False,False,False,False
309,0.3900625901565292,False,False,False,False
310,0.9254488677038575,False,False,False,False
311,0.9765799901233341,False,False,False,False
312,0.7783834970737619,False,False,False,False
313,0.5389417662641869,False,False,False,False
314,0.24739087891180367,False,False,False,False
315,0.651669467934994,False,False,False,False
316,0.8688495910220159,False,False,False,False
317,0.6855922324379105,False,False,False,False
318,0.5646309319752953,False,False,False,False
319,0.5629822420663771,False,False,False,False
320,0.4753334513833103,False,False,False,False
321,0.19158623496681693,False,False,False,False
322,0.5817272979587149,False,False,False,False
323,0.6208752935822592,False,False,False,False
324,0.211193720029058,False,False,False,False
325,0.130024995017903,False,False,False,False
326,0.9705166637521067,False,False,False,False
327,0.8956348813836968,False,False,False,False
328,0.8026458379953977,False,False,False,False
329,0.25501746270342684,False,False,False,False
330,0.6810169666269752,False,False,False,False
331,0.1342056267053643,False,False,False,False
332,0.9497451427295122,False,False,False,False
333,0.09915697059881434,False,False,False,False
334,0.41940334929763756,False,False,False,False
335,0.965116861627984,False,False,False,False
336,0.4670423501332346,False,False,False,False
337,0.8215552326388926,False,False,False,False
338,0.1867259020194323,False,False,False,False
339,0.5566594006874488,False,False,False,False
340,0.15527523754801353,False,False,False,False
341,0.2010161486775599,False,False,False,False
342,0.29576486514118105,False,False,False,False
343,0.052302250181599175,False,False,False,False
344,0.7257696347154339,False,False,False,False
345,0.13810473786874866,False,False,False,False
346,0.087649919316101,False,False,False,False
347,0.8864028867237077,False,False,False,False
348,0.22182330217467783,False,False,False,False
349,0.7814230285471774,False,False,False,False
350,0.22781115108638406,False,False,False,False
351,0.2016880132804536,False,False,False,False
352,0.31000243191393273,False,False,False,False
353,0.9386106707732477,False,False,False,False
354,0.16004472713910234,False,False,False,False
355,0.560728786325764,False,False,False,False
356,0.27034097052763906,False,False,False,False
357,0.11504281536220251,False,False,False,False
358,0.7114058474795725,False,False,False,False
359,0.44727568690826913,False,False,False,False
360,0.3394777542089027,False,False,False,False
361,0.4758300593494579,False,False,False,False
362,0.6180091103824286,False,False,False,False
363,0.3654307668999135,False,False,False,False
364,0.8033495334226994,False,False,False,False
365,0.7537706796439557,False,False,False,False
366,0.6235751477026844,False,False,False,False
367,0.6956176949541436,False,False,False,False
368,0.9314619293088893,False,False,False,False
369,0.6648508565920321,False,False,False,False
370,0.43816193119924574,False,False,False,False
371,0.8362183091872366,False,False,False,False
372,0.5509644155135526,False,False,False,False
373,0.7507025509358412,False,False,False,False
374,0.6551138914247648,False,False,False,False
375,0.619714601214624,False,False,False,False
376,0.6223449360758967,False,False,False,False
377,0.35273440426033775,False,False,False,False
378,0.9800126449449591,False,False,False,False
379,0.1300464400848661,False,False,False,False
380,0.8198111081856883,False,False,False,False
381,0.7712878409517714,False,False,False,False
382,0.7092289860771986,False,False,False,False
383,0.3290748704012698,False,False,False,False
384,0.2140922893367202,False,False,False,False
385,0.13562631136582848,False,False,False,False
386,0.030480909124649402,False,False,False,False
387,0.4091403317693737,False,False,False,False
388,0.14983283269230596,False,False,False,False
389,0.5675502865481917,False,False,False,False
390,0.04911764375004013,False,False,False,False
391,0.532492809411833,False,False,False,False
392,0.004363621514715366,False,False,False,False
393,0.20066662541291747,False,False,False,False
394,0.3603818603300104,False,False,False,False
395,0.753309615596317,False,False,False,False
396,0.7052724094776516,False,False,False,False
397,0.0651844579586307,False,False,False,False
398,0.04414514889230703,False,False,False,False
399,0.5149397215727727,False,False,False,False
400,0.4102789884141841,False,False,False,False
401,0.44214855746449533,False,False,False,False
402,0.6031790299115898,False,False,False,False
403,0.38154165062789613,False,False,False,False
404,0.07199576613846315,False,False,False,False
405,0.0686208571088589,False,False,False,False
406,0.5790439538535498,False,False,False,False
407,0.38491244720104345,False,False,False,False
408,0.046424044777622187,False,False,False,False
409,0.9421814547860456,False,False,False,False
410,0.8383117218922788,False,False,False,False
411,0.5239352179902536,False,False,False,False
412,0.0005187441657055203,False,False,False,False
413,0.12389060928835782,False,False,False,False
414,0.2612563516107882,False,False,False,False
415,0.37215051025214363,False,False,False,False
416,0.3459173724546537,False,False,False,False
417,0.08481927231183206,False,False,False,False
418,0.8957944968462817,False,False,False,False
419,0.6930954269297015,False,False,False,False
420,0.24794699166088474,False,False,False,False
421,0.546684211569528,False,False,False,False
422,0.28822824548790527,False,False,False,False
423,0.8157306355510568,False,False,False,False
424,0.9697715788310101,False,False,False,False
425,0.48988779199323196,False,False,False,False
426,0.6420535004227813,False,False,False,False
427,0.011186753086876888,False,False,False,False
428,0.053350982345181874,False,False,False,False
429,0.6881256130961884,False,False,False,False
430,0.7459443559358149,False,False,False,False
431,0.46367571468150104,False,False,False,False
432,0.43958737530133873,False,False,False,False
433,0.35748817539812083,False,False,False,False
434,0.28674392475714716,False,False,False,False
435,0.6554593927200013,False,False,False,False
436,0.29539079470985063,False,False,False,False
437,0.8780292726865745,False,False,False,False
438,0.5371871543270333,False,False,False,False
439,0.7002651020022491,False,False,False,False
440,0.0954834119592175,False,False,False,False
441,0.11426300825346014,False,False,False,False
442,0.7176391476415676,False,False,False,False
443,0.28138389202199654,False,False,False,False
444,0.924142810187282,False,False,False,False
445,0.5863518284149009,False,False,False,False
446,0.4056064995815233,False,False,False,False
447,0.3366070335655168,False,False,False,False
448,0.6268249827842086,False,False,False,False
449,0.557886678499744,False,False,False,False
450,0.22010157274543907,False,False,False,False
451,0.8967553715906984,False,False,False,False
452,0.6972736618299291,False,False,False,False
453,0.5428742880953146,False,False,False,False
454,0.001233062511908134,False,False,False,False
455,0.4775058736277328,False,False,False,False
456,0.47628454308368107,False,False,False,False
457,0.6660995535675723,False,False,False,False
458,0.13397721922900763,False,False,False,False
459,0.0038941463811326127,False,False,False,False
460,0.6141988035435992,False,False,False,False
461,0.3792659505862729,False,False,False,False
462,0.9744171231088467,False,False,False,False
463,0.4116443168877235,False,False,False,False
464,0.4200835653027917,False,False,False,False
465,0.40868165089961017,False,False,False,False
466,0.315929051830793,False,False,False,False
467,0.6940450131861471,False,False,False,False
468,0.6777086144544695,False,False,False,False
469,0.24022627614900316,False,False,False,False
470,0.9261821962748634,False,False,False,False
471,0.42701541733706916,False,False,False,False
472,0.8373823623450686,False,False,False,False
473,0.7533686139505454,False,False,False,False
474,0.2532156431033017,False,False,False,False
475,0.6226913443560438,False,False,False,False
476,0.09057905853543935,False,False,False,False
477,0.8168200674791013,False,False,False,False
478,0.6104433738241252,False,False,False,False
479,0.13167675203715756,False,False,False,False
480,0.3920424618618562,False,False,False,False
481,0.80622058077483,True,False,False,False
482,0.3577956372594787,False,False,False,False
483,0.7994657824269527,False,False,False,False
484,0.9807574679083522,False,False,False,False
485,0.017836783976987736,False,False,False,False
486,0.46301534973632963,False,False,False,False
487,0.7313375496437635,False,False,False,False
488,0.28910328119451023,False,False,False,False
489,0.023528109823277354,False,False,False,False
490,0.8445414996596974,False,False,False,False
491,0.09035887670141796,False,False,False,False
492,0.1265637921239603,False,False,False,False
493,0.5373986255693407,False,False,False,False
494,0.0122568018650272,False,False,False,False
495,0.1548644114288359,False,False,False,False
496,0.999059434735025,False,False,False,False
497,0.8273926622355084,False,False,False,False
498,0.13665197007797647,False,False,False,False
499,0.18616246727567864,False,False,False,False
500,0.5460522460754338,False,False,False,False
501,0.2749316919703817,False,False,False,False
502,0.15789442193660497,False,False,False,False
503,0.3216866673265535,False,False,False,False
504,0.9499229570223799,False,False,False,False
505,0.4462500211613094,False,False,False,False
506,0.2509096288749123,False,False,False,False
507,0.7262085234239566,False,False,False,False
508,0.7638440672883581,False,False,False,False
509,0.1632066847177871,False,False,False,False
510,0.07690833050541446,False,False,False,False
511,0.22028148530856229,False,False,False,False
512,0.4815915892060435,False,False,False,False
513,0.8502742988337217,False,False,False,False
514,0.007348139064262682,False,False,False,False
515,0.474416044892644,False,False,False,False
516,0.28592494883694264,False,False,False,False
517,0.5000677268066126,False,False,False,False
518,0.2018672516095411,False,False,False,False
519,0.8018250365493811,False,False,False,False
520,0.1531003758033771,False,False,False,False
521,0.5629659113348885,False,False,False,False
522,0.6259895566990807,False,False,False,False
523,0.9188231935306829,False,False,False,False
524,0.6415613259643522,False,False,False,False
525,0.4368520075377743,False,False,False,False
526,0.9822048746373078,False,False,False,False
527,0.4916095893179955,False,False,False,False
528,0.10736584968653018,False,False,False,False
529,0.22298928231839388,False,False,False,False
530,0.7470912629357731,False,False,False,False
531,0.5887666996202181,False,False,False,False
532,0.8328370546615123,False,False,False,False
533,0.2325522624430636,False,False,False,False
534,0.9871972388823189,False,False,False,False
535,0.7793416509802202,False,False,False,False
536,0.48825189028129945,False,False,False,False
537,0.8376172928554871,False,False,False,False
538,0.32341925796080806,False,False,False,False
539,0.13810976118487284,False,False,False,False
540,0.6201126289473403,False,False,False,False
541,0.9754043238262216,False,False,False,False
542,0.399222725202494,False,False,False,False
543,0.9720701771308857,False,False,False,False
544,0.7234095031624597,False,False,False,False
545,0.9184418955155542,False,False,False,False
546,0.33117824496213244,False,False,False,False
547,0.3059566241506525,False,False,False,False
548,0.5136710573476506,False,False,False,False
549,0.23903974215135615,False,False,False,False
550,0.12788238435231636,False,False,False,False
551,0.5712326517427727,False,False,False,False
552,0.6127421567003271,False,False,False,False
553,0.21927175092309104,False,False,False,False
554,0.35227922962675107,False,False,False,False
555,0.33092077981446666,False,False,False,False
556,0.7110693539776523,False,False,False,False
557,0.16971410509856066,False,False,False,False
558,0.25028659313307366,False,False,False,False
559,0.585799255585633,False,False,False,False
560,0.04333175346050033,False,False,False,False
561,0.9568886003161919,False,False,False,False
562,0.6000294417429484,False,False,False,False
563,0.7631875760760015,False,False,False,False
564,0.5961736506619755,False,False,False,False
565,0.3679043402218176,False,False,False,False
566,0.014682843560070769,False,False,False,False
567,0.582988625878554,False,False,False,False
568,0.7610215729814965,False,False,False,False
569,0.798097435818333,False,False,False,False
570,0.26603087262166525,False,False,False,False
571,0.31715317112997876,False,False,False,False
572,0.48112310176314976,False,False,False,False
573,0.14861983627690378,False,False,False,False
574,0.40913997762479715,False,False,False,False
575,0.09571232765433724,False,False,False,False
576,0.4725735109070718,False,False,False,False
577,0.7316480902109319,False,False,False,False
578,0.42168855478359224,False,False,False,False
579,0.39752502455499295,False,False,False,False
580,0.4234953946796538,False,False,False,False
581,0.3692728413409686,False,False,False,False
582,0.22774153617552728,False,False,False,False
583,0.15203590769457087,False,False,False,False
584,0.7462738135003091,False,False,False,False
585,0.022712073133860478,False,False,False,False
586,0.517661521287729,False,False,False,False
587,0.9995181101809494,False,False,False,False
588,0.8856629200453748,False,False,False,False
589,0.9697492267415924,False,False,False,False
590,0.5693138084114124,False,False,False,False
591,0.9061068107651816,False,False,False,False
592,0.6498274225632784,False,False,False,False
593,0.058108481721447336,False,False,False,False
594,0.23577117297395866,False,False,False,False
595,0.811596744596663,False,False,False,False
596,0.18896860636256352,False,False,False,False
597,0.4752073785262926,False,False,False,False
598,0.27576207549506915,False,False,False,False
599,0.7061186703805321,False,False,False,False
600,0.41398737625537374,False,False,False,False
601,0.5650779106307056,False,False,False,False
602,0.37365772887371007,False,False,False,False
603,0.8284028831753549,False,False,False,False
604,0.62699483994051,False,False,False,False
605,0.6072077329881385,False,False,False,False
606,0.08078536393781044,False,False,False,False
607,0.10641953187138287,False,False,False,False
608,0.7217897413057226,False,False,False,False
609,0.18088443032209034,False,False,False,False
610,0.6260209001017866,False,False,False,False
611,0.9664762406883838,False,False,False,False
612,0.5326291325257645,False,False,False,False
613,0.050957025387412536,False,False,False,False
614,0.5414499605548907,False,False,False,False
615,0.37154320840636157,False,False,False,False
616,0.8519347702918288,False,False,False,False
617,0.5071863930484379,False,False,False,False
618,0.32941221611176796,False,False,False,False
619,0.6146062192524261,False,False,False,False
620,0.47393273763807797,False,False,False,False
621,0.5285744299621766,False,False,False,False
622,0.21671231241323197,False,False,False,False
623,0.2749708738371165,False,False,False,False
624,0.45151706022933247,False,False,False,False
625,0.296053727808011,False,False,False,False
626,0.6794852182581039,False,False,False,False
627,0.5657719004319209,False,False,False,False
628,0.30396025868608556,False,False,False,False
629,0.07405768336907359,False,False,False,False
630,0.7294104595993042,False,False,False,False
631,0.7418209135729177,False,False,False,False
632,0.24366745405571355,False,False,False,False
633,0.5718419765211091,False,False,False,False
634,0.35536443232023773,False,False,False,False
635,0.897321769137301,True,False,False,False
636,0.11784390090583108,False,False,False,False
637,0.5396460514013469,False,False,False,False
638,0.12858850912520325,False,False,False,False
639,0.912045798249695,False,False,False,False
640,0.48554240885513744,False,False,False,False
641,0.9460270628173303,False,False,False,False
642,0.11800590212051532,False,False,False,False
643,0.8758453206592819,False,False,False,False
644,0.0706507157711106,False,False,False,False
645,0.5437688218921786,False,False,False,False
646,0.6135164847298321,False,False,False,False
647,0.6186015773554236,False,False,False,False
648,0.7769070549568304,False,False,False,False
649,0.06553043391838242,False,False,False,False
650,0.05160766497226266,False,False,False,False
651,0.7128717219670092,False,False,False,False
652,0.4769965172634726,False,False,False,False
653,0.8018018166558906,False,False,False,False
654,0.5146293421163498,False,False,False,False
655,0.698401595693379,False,False,False,False
656,0.6712314133085926,False,False,False,False
657,0.29506009031397196,False,False,False,False
658,0.11041545828252197,False,False,False,False
659,0.7101913948011042,False,False,False,False
660,0.5796647193100594,False,False,False,False
661,0.36379698216463674,False,False,False,False
662,0.06130406577344227,False,False,False,False
663,0.36129889885268307,False,False,False,False
664,0.7226943202595297,False,False,False,False
665,0.4276060072889357,False,False,False,False
666,0.1857041730663156,False,False,False,False
667,0.3514426145328662,False,False,False,False
668,0.28180391234213553,False,False,False,False
669,0.09504919756440122,False,False,False,False
670,0.8624783669834785,False,False,False,False
671,0.22434339864625508,False,False,False,False
672,0.23492817955053413,False,False,False,False
673,0.8819072171389275,False,False,False,False
674,0.5109994145616105,False,False,False,False
675,0.6620882682570118,False,False,False,False
676,0.6921838986439929,False,False,False,False
677,0.812905347695761,False,False,False,False
678,0.3873929297643537,False,False,False,False
679,0.7827613480561023,False,False,False,False
680,0.23981054430377957,False,False,False,False
681,0.8251534623405353,False,False,False,False
682,0.23846644371574255,False,False,False,False
683,0.24411907508557662,False,False,False,False
684,0.8358850175531424,False,False,False,False
685,0.5106606317398971,False,False,False,False
686,0.3827915651139041,False,False,False,False
687,0.025816994211470434,False,False,False,False
688,0.23453515044129858,False,False,False,False
689,0.4935065804363411,False,False,False,False
690,0.3549120380081954,False,False,False,False
691,0.0025786104865862525,False,False,False,False
692,0.5250932333448638,False,False,False,False
693,0.6273088407024432,False,False,False,False
694,0.10052200141670842,False,False,False,False
695,0.18095261608129332,False,False,False,False
696,0.782211195267795,False,False,False,False
697,0.8835298364237075,False,False,False,False
698,0.47502244400436067,False,False,False,False
699,0.9359287113809792,False,False,False,False
700,0.6259709800427894,False,False,False,False
701,0.24817187821689413,False,False,False,False
702,0.10010542876721051,False,False,False,False
703,0.18930635920056915,False,False,False,False
704,0.27468553268082985,False,False,False,False
705,0.643957946609181,False,False,False,False
706,0.5976381689598429,False,False,False,False
707,0.35768263152597424,False,False,False,False
708,0.975851033915114,False,False,False,False
709,0.7869243775021384,False,False,False,False
710,0.8339999609284041,False,False,False,False
711,0.367511810115128,False,False,False,False
712,0.43624652094621763,False,False,False,False
713,0.7461813006151257,False,False,False,False
714,0.5425440710475263,False,False,False,False
715,0.6518155210575742,False,False,False,False
716,0.08126469394752245,False,False,False,False
717,0.2455660388094516,False,False,False,False
718,0.31350960638467396,False,False,False,False
719,0.2643216129849856,False,False,False,False
720,0.1775465522783275,False,False,False,False
721,0.5169278655939907,False,False,False,False
722,0.3592043972677377,False,False,False,False
723,0.8685001619617433,False,False,False,False
724,0.7819452750462824,False,False,False,False
725,0.6728533946848935,False,False,False,False
726,0.5625281207559786,False,False,False,False
727,0.09892450510482231,False,False,False,False
728,0.0053377952202848175,False,False,False,False
729,0.6878868655934522,False,False,False,False
730,0.6082218974785071,False,False,False,False
731,0.027139958884180304,False,False,False,False
732,0.769034227704616,False,False,False,False
733,0.29109816369737496,False,False,False,False
